filename,slide_name,path,class,x_coord,y_coord,tissue_mask,nuclei_mask,unique_mask_indices,class_prc,weight
training_set_metastatic_roi_072_img_patch_768_192.png,training_set_metastatic_roi_072,../dataset/patches/images/training_set_metastatic_roi_072_img_patch_768_192.png,3,768,192,../dataset/patches/tissue_mask/training_set_metastatic_roi_072_tissue_patch_768_192.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_072_nuclei_patch_768_192.png,[3],[100.0],168.23963890028725
training_set_metastatic_roi_009_img_patch_0_768.png,training_set_metastatic_roi_009,../dataset/patches/images/training_set_metastatic_roi_009_img_patch_0_768.png,3,0,768,../dataset/patches/tissue_mask/training_set_metastatic_roi_009_tissue_patch_0_768.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_009_nuclei_patch_0_768.png,[3],[100.0],168.23963890028725
training_set_metastatic_roi_090_img_patch_768_576.png,training_set_metastatic_roi_090,../dataset/patches/images/training_set_metastatic_roi_090_img_patch_768_576.png,3,768,576,../dataset/patches/tissue_mask/training_set_metastatic_roi_090_tissue_patch_768_576.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_090_nuclei_patch_768_576.png,[3],[100.0],168.23963890028725
training_set_primary_roi_078_img_patch_384_0.png,training_set_primary_roi_078,../dataset/patches/images/training_set_primary_roi_078_img_patch_384_0.png,3,384,0,../dataset/patches/tissue_mask/training_set_primary_roi_078_tissue_patch_384_0.png,../dataset/patches/nuclei_mask/training_set_primary_roi_078_nuclei_patch_384_0.png,"[1, 3]","[7.4, 92.6]",168.23963890028725
training_set_primary_roi_092_img_patch_768_0.png,training_set_primary_roi_092,../dataset/patches/images/training_set_primary_roi_092_img_patch_768_0.png,3,768,0,../dataset/patches/tissue_mask/training_set_primary_roi_092_tissue_patch_768_0.png,../dataset/patches/nuclei_mask/training_set_primary_roi_092_nuclei_patch_768_0.png,[3],[100.0],168.23963890028725
training_set_metastatic_roi_098_img_patch_192_0.png,training_set_metastatic_roi_098,../dataset/patches/images/training_set_metastatic_roi_098_img_patch_192_0.png,3,192,0,../dataset/patches/tissue_mask/training_set_metastatic_roi_098_tissue_patch_192_0.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_098_nuclei_patch_192_0.png,[3],[100.0],168.23963890028725
training_set_primary_roi_045_img_patch_768_0.png,training_set_primary_roi_045,../dataset/patches/images/training_set_primary_roi_045_img_patch_768_0.png,1,768,0,../dataset/patches/tissue_mask/training_set_primary_roi_045_tissue_patch_768_0.png,../dataset/patches/nuclei_mask/training_set_primary_roi_045_nuclei_patch_768_0.png,[1],[100.0],584.8787446504992
training_set_metastatic_roi_060_img_patch_192_0.png,training_set_metastatic_roi_060,../dataset/patches/images/training_set_metastatic_roi_060_img_patch_192_0.png,3,192,0,../dataset/patches/tissue_mask/training_set_metastatic_roi_060_tissue_patch_192_0.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_060_nuclei_patch_192_0.png,[3],[100.0],168.23963890028725
training_set_metastatic_roi_063_img_patch_576_192.png,training_set_metastatic_roi_063,../dataset/patches/images/training_set_metastatic_roi_063_img_patch_576_192.png,2,576,192,../dataset/patches/tissue_mask/training_set_metastatic_roi_063_tissue_patch_576_192.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_063_nuclei_patch_576_192.png,"[2, 3]","[9.0, 91.0]",687.9194630872485
training_set_primary_roi_013_img_patch_768_0.png,training_set_primary_roi_013,../dataset/patches/images/training_set_primary_roi_013_img_patch_768_0.png,1,768,0,../dataset/patches/tissue_mask/training_set_primary_roi_013_tissue_patch_768_0.png,../dataset/patches/nuclei_mask/training_set_primary_roi_013_nuclei_patch_768_0.png,[1],[100.0],584.8787446504992
training_set_metastatic_roi_034_img_patch_768_576.png,training_set_metastatic_roi_034,../dataset/patches/images/training_set_metastatic_roi_034_img_patch_768_576.png,3,768,576,../dataset/patches/tissue_mask/training_set_metastatic_roi_034_tissue_patch_768_576.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_034_nuclei_patch_768_576.png,[3],[100.0],168.23963890028725
training_set_primary_roi_033_img_patch_576_768.png,training_set_primary_roi_033,../dataset/patches/images/training_set_primary_roi_033_img_patch_576_768.png,4,576,768,../dataset/patches/tissue_mask/training_set_primary_roi_033_tissue_patch_576_768.png,../dataset/patches/nuclei_mask/training_set_primary_roi_033_nuclei_patch_576_768.png,"[1, 4]","[99.6, 0.4]",1443.6619718309857
training_set_primary_roi_029_img_patch_0_192.png,training_set_primary_roi_029,../dataset/patches/images/training_set_primary_roi_029_img_patch_0_192.png,3,0,192,../dataset/patches/tissue_mask/training_set_primary_roi_029_tissue_patch_0_192.png,../dataset/patches/nuclei_mask/training_set_primary_roi_029_nuclei_patch_0_192.png,[3],[100.0],168.23963890028725
training_set_metastatic_roi_042_img_patch_384_768.png,training_set_metastatic_roi_042,../dataset/patches/images/training_set_metastatic_roi_042_img_patch_384_768.png,3,384,768,../dataset/patches/tissue_mask/training_set_metastatic_roi_042_tissue_patch_384_768.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_042_nuclei_patch_384_768.png,[3],[100.0],168.23963890028725
training_set_primary_roi_051_img_patch_576_576.png,training_set_primary_roi_051,../dataset/patches/images/training_set_primary_roi_051_img_patch_576_576.png,2,576,576,../dataset/patches/tissue_mask/training_set_primary_roi_051_tissue_patch_576_576.png,../dataset/patches/nuclei_mask/training_set_primary_roi_051_nuclei_patch_576_576.png,"[1, 2]","[90.4, 9.6]",687.9194630872485
training_set_metastatic_roi_085_img_patch_192_0.png,training_set_metastatic_roi_085,../dataset/patches/images/training_set_metastatic_roi_085_img_patch_192_0.png,3,192,0,../dataset/patches/tissue_mask/training_set_metastatic_roi_085_tissue_patch_192_0.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_085_nuclei_patch_192_0.png,"[1, 3]","[16.0, 84.0]",168.23963890028725
training_set_primary_roi_101_img_patch_192_576.png,training_set_primary_roi_101,../dataset/patches/images/training_set_primary_roi_101_img_patch_192_576.png,1,192,576,../dataset/patches/tissue_mask/training_set_primary_roi_101_tissue_patch_192_576.png,../dataset/patches/nuclei_mask/training_set_primary_roi_101_nuclei_patch_192_576.png,"[1, 3]","[54.0, 46.0]",584.8787446504992
training_set_metastatic_roi_002_img_patch_768_768.png,training_set_metastatic_roi_002,../dataset/patches/images/training_set_metastatic_roi_002_img_patch_768_768.png,3,768,768,../dataset/patches/tissue_mask/training_set_metastatic_roi_002_tissue_patch_768_768.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_002_nuclei_patch_768_768.png,[3],[100.0],168.23963890028725
training_set_primary_roi_028_img_patch_0_384.png,training_set_primary_roi_028,../dataset/patches/images/training_set_primary_roi_028_img_patch_0_384.png,3,0,384,../dataset/patches/tissue_mask/training_set_primary_roi_028_tissue_patch_0_384.png,../dataset/patches/nuclei_mask/training_set_primary_roi_028_nuclei_patch_0_384.png,[3],[100.0],168.23963890028725
training_set_primary_roi_065_img_patch_0_0.png,training_set_primary_roi_065,../dataset/patches/images/training_set_primary_roi_065_img_patch_0_0.png,3,0,0,../dataset/patches/tissue_mask/training_set_primary_roi_065_tissue_patch_0_0.png,../dataset/patches/nuclei_mask/training_set_primary_roi_065_nuclei_patch_0_0.png,"[1, 3]","[26.2, 73.8]",168.23963890028725
training_set_metastatic_roi_028_img_patch_384_384.png,training_set_metastatic_roi_028,../dataset/patches/images/training_set_metastatic_roi_028_img_patch_384_384.png,2,384,384,../dataset/patches/tissue_mask/training_set_metastatic_roi_028_tissue_patch_384_384.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_028_nuclei_patch_384_384.png,"[2, 3]","[1.8, 98.2]",687.9194630872485
training_set_primary_roi_081_img_patch_0_576.png,training_set_primary_roi_081,../dataset/patches/images/training_set_primary_roi_081_img_patch_0_576.png,3,0,576,../dataset/patches/tissue_mask/training_set_primary_roi_081_tissue_patch_0_576.png,../dataset/patches/nuclei_mask/training_set_primary_roi_081_nuclei_patch_0_576.png,"[1, 3]","[3.9, 96.1]",168.23963890028725
training_set_primary_roi_070_img_patch_384_768.png,training_set_primary_roi_070,../dataset/patches/images/training_set_primary_roi_070_img_patch_384_768.png,2,384,768,../dataset/patches/tissue_mask/training_set_primary_roi_070_tissue_patch_384_768.png,../dataset/patches/nuclei_mask/training_set_primary_roi_070_nuclei_patch_384_768.png,"[1, 2, 3]","[80.4, 1.3, 17.9]",687.9194630872485
training_set_metastatic_roi_103_img_patch_0_768.png,training_set_metastatic_roi_103,../dataset/patches/images/training_set_metastatic_roi_103_img_patch_0_768.png,3,0,768,../dataset/patches/tissue_mask/training_set_metastatic_roi_103_tissue_patch_0_768.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_103_nuclei_patch_0_768.png,[3],[100.0],168.23963890028725
training_set_primary_roi_006_img_patch_192_192.png,training_set_primary_roi_006,../dataset/patches/images/training_set_primary_roi_006_img_patch_192_192.png,3,192,192,../dataset/patches/tissue_mask/training_set_primary_roi_006_tissue_patch_192_192.png,../dataset/patches/nuclei_mask/training_set_primary_roi_006_nuclei_patch_192_192.png,"[1, 3]","[5.1, 94.9]",168.23963890028725
training_set_primary_roi_037_img_patch_576_768.png,training_set_primary_roi_037,../dataset/patches/images/training_set_primary_roi_037_img_patch_576_768.png,1,576,768,../dataset/patches/tissue_mask/training_set_primary_roi_037_tissue_patch_576_768.png,../dataset/patches/nuclei_mask/training_set_primary_roi_037_nuclei_patch_576_768.png,[1],[100.0],584.8787446504992
training_set_primary_roi_015_img_patch_192_576.png,training_set_primary_roi_015,../dataset/patches/images/training_set_primary_roi_015_img_patch_192_576.png,3,192,576,../dataset/patches/tissue_mask/training_set_primary_roi_015_tissue_patch_192_576.png,../dataset/patches/nuclei_mask/training_set_primary_roi_015_nuclei_patch_192_576.png,[3],[100.0],168.23963890028725
