filename,slide_name,path,class,x_coord,y_coord,tissue_mask,nuclei_mask,unique_mask_indices,class_prc
training_set_metastatic_roi_072_img_patch_768_192.png,training_set_metastatic_roi_072,../dataset/patches/images/training_set_metastatic_roi_072_img_patch_768_192.png,metastatic,768,192,../dataset/patches/tissue_mask/training_set_metastatic_roi_072_tissue_patch_768_192.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_072_nuclei_patch_768_192.png,[1 2],[24.3  2.6]
training_set_metastatic_roi_009_img_patch_0_768.png,training_set_metastatic_roi_009,../dataset/patches/images/training_set_metastatic_roi_009_img_patch_0_768.png,metastatic,0,768,../dataset/patches/tissue_mask/training_set_metastatic_roi_009_tissue_patch_0_768.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_009_nuclei_patch_0_768.png,[1],[25.]
training_set_metastatic_roi_090_img_patch_768_576.png,training_set_metastatic_roi_090,../dataset/patches/images/training_set_metastatic_roi_090_img_patch_768_576.png,metastatic,768,576,../dataset/patches/tissue_mask/training_set_metastatic_roi_090_tissue_patch_768_576.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_090_nuclei_patch_768_576.png,[1 2 3],[11.   0.3  0.7]
training_set_primary_roi_078_img_patch_384_0.png,training_set_primary_roi_078,../dataset/patches/images/training_set_primary_roi_078_img_patch_384_0.png,primary,384,0,../dataset/patches/tissue_mask/training_set_primary_roi_078_tissue_patch_384_0.png,../dataset/patches/nuclei_mask/training_set_primary_roi_078_nuclei_patch_384_0.png,[1],[14.7]
training_set_primary_roi_092_img_patch_768_0.png,training_set_primary_roi_092,../dataset/patches/images/training_set_primary_roi_092_img_patch_768_0.png,primary,768,0,../dataset/patches/tissue_mask/training_set_primary_roi_092_tissue_patch_768_0.png,../dataset/patches/nuclei_mask/training_set_primary_roi_092_nuclei_patch_768_0.png,[1],[20.]
training_set_metastatic_roi_098_img_patch_192_0.png,training_set_metastatic_roi_098,../dataset/patches/images/training_set_metastatic_roi_098_img_patch_192_0.png,metastatic,192,0,../dataset/patches/tissue_mask/training_set_metastatic_roi_098_tissue_patch_192_0.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_098_nuclei_patch_192_0.png,[1 2 3],[17.2  5.7  1. ]
training_set_primary_roi_045_img_patch_768_0.png,training_set_primary_roi_045,../dataset/patches/images/training_set_primary_roi_045_img_patch_768_0.png,primary,768,0,../dataset/patches/tissue_mask/training_set_primary_roi_045_tissue_patch_768_0.png,../dataset/patches/nuclei_mask/training_set_primary_roi_045_nuclei_patch_768_0.png,[2 3],[40.2  8.9]
training_set_metastatic_roi_060_img_patch_192_0.png,training_set_metastatic_roi_060,../dataset/patches/images/training_set_metastatic_roi_060_img_patch_192_0.png,metastatic,192,0,../dataset/patches/tissue_mask/training_set_metastatic_roi_060_tissue_patch_192_0.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_060_nuclei_patch_192_0.png,[1 3],[12.6  0.4]
training_set_metastatic_roi_063_img_patch_576_192.png,training_set_metastatic_roi_063,../dataset/patches/images/training_set_metastatic_roi_063_img_patch_576_192.png,metastatic,576,192,../dataset/patches/tissue_mask/training_set_metastatic_roi_063_tissue_patch_576_192.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_063_nuclei_patch_576_192.png,[1 2 3],[23.8  0.9  1.7]
training_set_metastatic_roi_031_img_patch_768_192.png,training_set_metastatic_roi_031,../dataset/patches/images/training_set_metastatic_roi_031_img_patch_768_192.png,metastatic,768,192,../dataset/patches/tissue_mask/training_set_metastatic_roi_031_tissue_patch_768_192.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_031_nuclei_patch_768_192.png,[1 3],[13.1  0.6]
training_set_primary_roi_013_img_patch_768_0.png,training_set_primary_roi_013,../dataset/patches/images/training_set_primary_roi_013_img_patch_768_0.png,primary,768,0,../dataset/patches/tissue_mask/training_set_primary_roi_013_tissue_patch_768_0.png,../dataset/patches/nuclei_mask/training_set_primary_roi_013_nuclei_patch_768_0.png,[2 3],[3.1 9. ]
training_set_metastatic_roi_031_img_patch_384_576.png,training_set_metastatic_roi_031,../dataset/patches/images/training_set_metastatic_roi_031_img_patch_384_576.png,metastatic,384,576,../dataset/patches/tissue_mask/training_set_metastatic_roi_031_tissue_patch_384_576.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_031_nuclei_patch_384_576.png,[1],[8.9]
training_set_metastatic_roi_034_img_patch_768_576.png,training_set_metastatic_roi_034,../dataset/patches/images/training_set_metastatic_roi_034_img_patch_768_576.png,metastatic,768,576,../dataset/patches/tissue_mask/training_set_metastatic_roi_034_tissue_patch_768_576.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_034_nuclei_patch_768_576.png,[1 2],[17.5  0.5]
training_set_primary_roi_033_img_patch_576_768.png,training_set_primary_roi_033,../dataset/patches/images/training_set_primary_roi_033_img_patch_576_768.png,primary,576,768,../dataset/patches/tissue_mask/training_set_primary_roi_033_tissue_patch_576_768.png,../dataset/patches/nuclei_mask/training_set_primary_roi_033_nuclei_patch_576_768.png,[1 2 3],[0.1 9.1 6.6]
training_set_primary_roi_029_img_patch_0_192.png,training_set_primary_roi_029,../dataset/patches/images/training_set_primary_roi_029_img_patch_0_192.png,primary,0,192,../dataset/patches/tissue_mask/training_set_primary_roi_029_tissue_patch_0_192.png,../dataset/patches/nuclei_mask/training_set_primary_roi_029_nuclei_patch_0_192.png,[1 2 3],[21.1  0.8  1.3]
training_set_metastatic_roi_042_img_patch_384_768.png,training_set_metastatic_roi_042,../dataset/patches/images/training_set_metastatic_roi_042_img_patch_384_768.png,metastatic,384,768,../dataset/patches/tissue_mask/training_set_metastatic_roi_042_tissue_patch_384_768.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_042_nuclei_patch_384_768.png,[1 2],[22.5  1.7]
training_set_metastatic_roi_093_img_patch_768_768.png,training_set_metastatic_roi_093,../dataset/patches/images/training_set_metastatic_roi_093_img_patch_768_768.png,metastatic,768,768,../dataset/patches/tissue_mask/training_set_metastatic_roi_093_tissue_patch_768_768.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_093_nuclei_patch_768_768.png,[1 2],[19.9  2.4]
training_set_primary_roi_064_img_patch_192_384.png,training_set_primary_roi_064,../dataset/patches/images/training_set_primary_roi_064_img_patch_192_384.png,primary,192,384,../dataset/patches/tissue_mask/training_set_primary_roi_064_tissue_patch_192_384.png,../dataset/patches/nuclei_mask/training_set_primary_roi_064_nuclei_patch_192_384.png,[1 2 3],[0.4 8.  9.7]
training_set_primary_roi_051_img_patch_576_576.png,training_set_primary_roi_051,../dataset/patches/images/training_set_primary_roi_051_img_patch_576_576.png,primary,576,576,../dataset/patches/tissue_mask/training_set_primary_roi_051_tissue_patch_576_576.png,../dataset/patches/nuclei_mask/training_set_primary_roi_051_nuclei_patch_576_576.png,[2 3],[ 8.4 10.8]
training_set_metastatic_roi_084_img_patch_768_192.png,training_set_metastatic_roi_084,../dataset/patches/images/training_set_metastatic_roi_084_img_patch_768_192.png,metastatic,768,192,../dataset/patches/tissue_mask/training_set_metastatic_roi_084_tissue_patch_768_192.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_084_nuclei_patch_768_192.png,[1 2],[17.8  1.6]
training_set_metastatic_roi_085_img_patch_192_0.png,training_set_metastatic_roi_085,../dataset/patches/images/training_set_metastatic_roi_085_img_patch_192_0.png,metastatic,192,0,../dataset/patches/tissue_mask/training_set_metastatic_roi_085_tissue_patch_192_0.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_085_nuclei_patch_192_0.png,[1 2],[17.5  4.3]
training_set_primary_roi_101_img_patch_192_576.png,training_set_primary_roi_101,../dataset/patches/images/training_set_primary_roi_101_img_patch_192_576.png,primary,192,576,../dataset/patches/tissue_mask/training_set_primary_roi_101_tissue_patch_192_576.png,../dataset/patches/nuclei_mask/training_set_primary_roi_101_nuclei_patch_192_576.png,[1 2 3],[3.3 1.5 5.3]
training_set_metastatic_roi_002_img_patch_768_768.png,training_set_metastatic_roi_002,../dataset/patches/images/training_set_metastatic_roi_002_img_patch_768_768.png,metastatic,768,768,../dataset/patches/tissue_mask/training_set_metastatic_roi_002_tissue_patch_768_768.png,../dataset/patches/nuclei_mask/training_set_metastatic_roi_002_nuclei_patch_768_768.png,[1 2 3],[25.3  1.7  1.1]
