filename,slide_name,path,class,x_coord,y_coord,tissue_mask,nuclei_mask,unique_mask_indices,class_prc
training_set_primary_roi_045_img_patch_0_448.png,training_set_primary_roi_045,../dataset/patches2/images/training_set_primary_roi_045_img_patch_0_448.png,primary,0.0,448.0,../dataset/patches2/tissue_mask/training_set_primary_roi_045_tissue_patch_0_448.png,../dataset/patches2/nuclei_mask/training_set_primary_roi_045_nuclei_patch_0_448.png,[3],[100.]
training_set_primary_roi_085_img_patch_448_448.png,training_set_primary_roi_085,../dataset/patches2/images/training_set_primary_roi_085_img_patch_448_448.png,primary,448.0,448.0,../dataset/patches2/tissue_mask/training_set_primary_roi_085_tissue_patch_448_448.png,../dataset/patches2/nuclei_mask/training_set_primary_roi_085_nuclei_patch_448_448.png,[3],[100.]
training_set_metastatic_roi_079_img_patch_0_448.png,training_set_metastatic_roi_079,../dataset/patches2/images/training_set_metastatic_roi_079_img_patch_0_448.png,metastatic,0.0,448.0,../dataset/patches2/tissue_mask/training_set_metastatic_roi_079_tissue_patch_0_448.png,../dataset/patches2/nuclei_mask/training_set_metastatic_roi_079_nuclei_patch_0_448.png,[3],[100.]
training_set_primary_roi_076_img_patch_448_0.png,training_set_primary_roi_076,../dataset/patches2/images/training_set_primary_roi_076_img_patch_448_0.png,primary,448.0,0.0,../dataset/patches2/tissue_mask/training_set_primary_roi_076_tissue_patch_448_0.png,../dataset/patches2/nuclei_mask/training_set_primary_roi_076_nuclei_patch_448_0.png,[1 2 3],[96.2  2.6  1.2]
training_set_primary_roi_025_img_patch_448_448.png,training_set_primary_roi_025,../dataset/patches2/images/training_set_primary_roi_025_img_patch_448_448.png,primary,448.0,448.0,../dataset/patches2/tissue_mask/training_set_primary_roi_025_tissue_patch_448_448.png,../dataset/patches2/nuclei_mask/training_set_primary_roi_025_nuclei_patch_448_448.png,[1 3],[26.4 73.6]
training_set_primary_roi_065_img_patch_0_0.png,training_set_primary_roi_065,../dataset/patches2/images/training_set_primary_roi_065_img_patch_0_0.png,primary,0.0,0.0,../dataset/patches2/tissue_mask/training_set_primary_roi_065_tissue_patch_0_0.png,../dataset/patches2/nuclei_mask/training_set_primary_roi_065_nuclei_patch_0_0.png,[1 2 3],[18.6  0.5 80.9]
training_set_metastatic_roi_060_img_patch_448_448.png,training_set_metastatic_roi_060,../dataset/patches2/images/training_set_metastatic_roi_060_img_patch_448_448.png,metastatic,448.0,448.0,../dataset/patches2/tissue_mask/training_set_metastatic_roi_060_tissue_patch_448_448.png,../dataset/patches2/nuclei_mask/training_set_metastatic_roi_060_nuclei_patch_448_448.png,[1 3],[ 0.2 99.8]
training_set_primary_roi_038_img_patch_448_0.png,training_set_primary_roi_038,../dataset/patches2/images/training_set_primary_roi_038_img_patch_448_0.png,primary,448.0,0.0,../dataset/patches2/tissue_mask/training_set_primary_roi_038_tissue_patch_448_0.png,../dataset/patches2/nuclei_mask/training_set_primary_roi_038_nuclei_patch_448_0.png,[1 2 3],[ 1.3 21.4 77.3]
training_set_metastatic_roi_024_img_patch_0_0.png,training_set_metastatic_roi_024,../dataset/patches2/images/training_set_metastatic_roi_024_img_patch_0_0.png,metastatic,0.0,0.0,../dataset/patches2/tissue_mask/training_set_metastatic_roi_024_tissue_patch_0_0.png,../dataset/patches2/nuclei_mask/training_set_metastatic_roi_024_nuclei_patch_0_0.png,[3],[100.]
training_set_primary_roi_026_img_patch_0_0.png,training_set_primary_roi_026,../dataset/patches2/images/training_set_primary_roi_026_img_patch_0_0.png,primary,0.0,0.0,../dataset/patches2/tissue_mask/training_set_primary_roi_026_tissue_patch_0_0.png,../dataset/patches2/nuclei_mask/training_set_primary_roi_026_nuclei_patch_0_0.png,[1 2],[82.7 17.3]
